rs_id,chromosome,position,chromosomal_location,functional_consequence,host_gene,p_value,allele_frequency,odds_ratio,related_disease,study_population,sample_size
rs86822412,chr4,7713773,chr4:7713773,downstream_gene_variant,CCL2,1.8733260541179653e-05,0.4758500101408589,2.856785460347372,Pneumonia,East Asian,48765
rs14756669,chr22,199821483,chr22:199821483,regulatory_region_variant,OAS2,2.9936937625009863e-05,0.0864491338167939,1.4743868488068865,Inflammatory response,Middle Eastern,2582
rs4999315,chr3,59690184,chr3:59690184,upstream_gene_variant,S100A8,2.913599772288291e-06,0.4344263114297182,2.542676028183701,Inflammatory response,European,37281
rs27687537,chrX,175452024,chrX:175452024,regulatory_region_variant,IRAK4,3.540654816402432e-05,0.020086402204943198,3.427783645188786,Pneumonia,Middle Eastern,39118
rs38338124,chr1,43858220,chr1:43858220,5_prime_UTR_variant,CD14,4.162380761361309e-05,0.11404616423235531,1.5363799212970415,Thrombosis,East Asian,14610
rs46176955,chr4,25896273,chr4:25896273,5_prime_UTR_variant,OAS3,9.178391447573157e-06,0.1590786990501735,2.359415435917371,Cardiovascular disease,Mixed,40065
rs36503389,chr2,196885885,chr2:196885885,splice_region_variant,LCN2,2.160293148191937e-05,0.15270227869704053,2.568446947333711,Respiratory failure,Middle Eastern,5664
rs75093639,chr10,169749210,chr10:169749210,3_prime_UTR_variant,ADIPOQ,6.9832980939955715e-06,0.1531508777822569,1.9792684239048601,Pneumonia,European,3503
rs89753260,chr8,78681988,chr8:78681988,synonymous_variant,THBD,2.280893851100963e-05,0.39473622108257667,1.5792170771800635,Pneumonia,European,25411
rs38308985,chr15,171640242,chr15:171640242,3_prime_UTR_variant,STAT1,2.5716579576296446e-05,0.3002831387424008,1.2114809905279946,Cardiovascular disease,Mixed,14230
rs90949389,chr9,189393455,chr9:189393455,synonymous_variant,CRP,3.0381167146552905e-05,0.09355682060677284,1.256123823164671,Cytokine storm,East Asian,35505
rs98861742,chr8,44863022,chr8:44863022,splice_region_variant,TLR8,4.744478800729413e-05,0.4831596962065341,3.0401536354795065,Thrombosis,East Asian,45366
rs44524491,chr2,62484623,chr2:62484623,missense_variant,FGG,1.52376423209768e-05,0.057859335863128095,2.7421592636291763,Cardiovascular disease,Middle Eastern,18046
rs9883684,chr7,153251235,chr7:153251235,3_prime_UTR_variant,IL1B,2.2013223162042672e-05,0.06979873507394162,2.2884245842670485,Cytokine storm,Middle Eastern,26428
rs87282117,chr15,39351800,chr15:39351800,downstream_gene_variant,IRF7,1.7290821705497676e-06,0.4555669970186032,1.7210719558400407,Pneumonia,Mixed,49456
rs79461803,chr14,157640927,chr14:157640927,5_prime_UTR_variant,TLR7,3.312948899485556e-05,0.16273842728381138,2.348163250826746,Pneumonia,East Asian,33892
rs67238574,chr3,13647705,chr3:13647705,synonymous_variant,IRF3,2.734004686437055e-05,0.10057868320750825,3.4270031066349405,Cytokine storm,East Asian,45096
rs57661351,chr20,18053089,chr20:18053089,5_prime_UTR_variant,TLR8,3.875888983982212e-05,0.4703544813664527,3.2475856410263573,Inflammatory response,Middle Eastern,35176
rs34744231,chr18,4081913,chr18:4081913,synonymous_variant,ANGPT2,2.9899019940766147e-05,0.46171837516132724,1.3123820049246069,Immune deficiency,Mixed,42506
rs46657579,chr4,79785840,chr4:79785840,5_prime_UTR_variant,STAT1,9.80718329233307e-06,0.03216137156616365,1.8807927938318345,Hypertension,European,47823
rs97593904,chr9,135375061,chr9:135375061,intron_variant,S100A8,1.9439977711577208e-05,0.142961025569209,3.0889700219646303,Respiratory failure,Mixed,42374
rs69137358,chr20,54394792,chr20:54394792,intron_variant,TLR7,1.784409880141253e-05,0.14765790974681658,2.4024705995797966,Multi-organ failure,East Asian,35848
rs72182864,chr1,161777963,chr1:161777963,3_prime_UTR_variant,HMGB1,7.0548020064883844e-06,0.40307652056947946,1.2789215448314502,Severe COVID-19,European,24288
rs42273847,chr8,16549169,chr8:16549169,upstream_gene_variant,TFPI,4.934447796065986e-05,0.3883999369553621,1.5769176356820138,Inflammatory response,European,6113
rs99234974,chr16,19579092,chr16:19579092,regulatory_region_variant,FGB,2.8605063500888397e-07,0.40957609994286875,2.7964576252342814,ARDS,East Asian,43737
rs64791320,chr18,45325930,chr18:45325930,downstream_gene_variant,S100A9,3.6453068330368956e-05,0.3879224698761134,1.277707164161817,Coagulopathy,Middle Eastern,14380
rs73383095,chrY,186184933,chrY:186184933,upstream_gene_variant,F8,1.792970176992819e-05,0.06677583916731356,3.1714482221014246,Thrombosis,Middle Eastern,44519
rs88225156,chr12,118601594,chr12:118601594,regulatory_region_variant,NLRP3,3.1168673360109625e-05,0.1721400321777981,1.2525400406864569,Respiratory failure,East Asian,15225
rs9593410,chr11,6646341,chr11:6646341,regulatory_region_variant,TNF,1.5556006262565954e-05,0.16933982779310605,2.851054828011354,Inflammatory response,East Asian,971
rs10528530,chrX,170410411,chrX:170410411,missense_variant,TNF,3.1881497993047104e-05,0.4447342438624,2.233315820388678,Respiratory failure,European,22154
rs10510312,chr17,64888882,chr17:64888882,downstream_gene_variant,PCSK9,5.988516354455702e-06,0.35948994573926757,2.925884116680554,Hypertension,East Asian,35839
rs18758595,chrY,154288213,chrY:154288213,splice_region_variant,CCL2,2.8068247106499118e-05,0.3877739181777349,2.285109431274538,Multi-organ failure,Middle Eastern,27177
rs26556386,chr4,27019666,chr4:27019666,5_prime_UTR_variant,TLR3,2.6141414140805883e-05,0.21949509899568934,1.1610059041858285,Diabetes,Middle Eastern,31106
rs98854904,chr2,181754918,chr2:181754918,synonymous_variant,TYK2,5.40349243539529e-06,0.025400300986499785,2.627384987033073,Diabetes,Mixed,7661
rs34374088,chr7,52058814,chr7:52058814,regulatory_region_variant,NLRP3,1.5724655494005572e-05,0.25919963867070434,3.2781595374226233,ARDS,Middle Eastern,12525
rs38385696,chr15,68056907,chr15:68056907,synonymous_variant,NLRP3,1.2472118535152258e-05,0.21108763228745858,2.9133227325033166,Multi-organ failure,European,3815
rs88529405,chr18,4961530,chr18:4961530,synonymous_variant,PLG,1.1447620292926207e-05,0.04772015581610857,1.7954034869930433,Coagulopathy,East Asian,11399
rs55547971,chr16,130213667,chr16:130213667,upstream_gene_variant,EPCR,8.06945214982768e-06,0.4655518496478608,3.0394889109546006,Diabetes,European,11289
rs51864911,chr1,105803042,chr1:105803042,downstream_gene_variant,FGA,3.167385378795607e-05,0.4370156891919817,3.0288129845578746,Multi-organ failure,Middle Eastern,19194
rs57775103,chrX,197093527,chrX:197093527,regulatory_region_variant,PCSK9,9.336637243712932e-06,0.4473539092600891,2.394421380597562,Sepsis,Middle Eastern,10644
rs26487660,chr10,59438638,chr10:59438638,missense_variant,LEP,4.037393335665149e-05,0.44908473696251167,1.8632083399324735,Sepsis,European,49519
rs43091325,chr2,14459980,chr2:14459980,splice_region_variant,S100A8,5.511495707138561e-06,0.12168822964555141,2.125058692703015,Coagulopathy,East Asian,4227
rs69159587,chr3,50882009,chr3:50882009,synonymous_variant,CRP,4.090255814846543e-05,0.4317579857956083,1.1166851132748579,Respiratory failure,East Asian,26961
rs17090908,chr19,67092929,chr19:67092929,missense_variant,SAA1,2.5542257655852512e-05,0.2145313915429017,1.6330587451297527,Respiratory failure,Middle Eastern,43581
rs79339168,chr19,141333417,chr19:141333417,3_prime_UTR_variant,CXCL10,6.002069713010803e-06,0.1754314339877777,3.362983289390046,Pneumonia,Mixed,16142
rs36650176,chr13,36132370,chr13:36132370,downstream_gene_variant,CASP1,1.6166914571717557e-05,0.2642074046542494,2.787245501348427,Cardiovascular disease,European,1110
rs62510041,chr20,152127454,chr20:152127454,synonymous_variant,OAS1,1.8187843822940908e-05,0.4861732205332707,3.409873507861067,Immune deficiency,East Asian,33653
rs36594597,chr5,94686345,chr5:94686345,synonymous_variant,TFPI,1.2596596968309954e-05,0.25365176788726884,1.8221079435602472,Pneumonia,Mixed,19176
rs22172421,chr15,146818960,chr15:146818960,downstream_gene_variant,SAA1,1.4249176313929606e-05,0.02807460420372107,2.5629544015517522,Multi-organ failure,European,44269
rs75437458,chr10,179077052,chr10:179077052,synonymous_variant,TFPI,2.5138924371210786e-05,0.035224588112494785,1.7687515141678674,ARDS,Mixed,8064
rs15366125,chrY,149504841,chrY:149504841,intron_variant,IFNG,4.541421163947302e-05,0.1273853264268165,1.4477476930189355,Thrombosis,East Asian,47529
rs47020613,chr7,185548605,chr7:185548605,downstream_gene_variant,S100A8,2.4477743486275376e-05,0.4929687225141943,1.680932651627601,Hypertension,Mixed,3829
rs13388090,chr21,114702755,chr21:114702755,downstream_gene_variant,IFNAR2,3.361005601481987e-05,0.3831936115110716,1.6703301055817592,Severe COVID-19,Mixed,9073
rs86511909,chr9,44374331,chr9:44374331,splice_region_variant,RETN,3.641353526710686e-05,0.19021373503243408,2.6175339934245905,Sepsis,Middle Eastern,37259
rs2297845,chr4,21198118,chr4:21198118,intron_variant,LCN2,3.168015024093713e-05,0.27252959519663167,1.31669544813058,Severe COVID-19,Mixed,38675
rs75158663,chr5,116369993,chr5:116369993,intron_variant,IFNAR2,4.176677175450601e-05,0.16718223183615055,1.5476444249596502,Thrombosis,Mixed,3114
rs49024342,chr7,184090883,chr7:184090883,upstream_gene_variant,PCSK9,2.048349326322648e-06,0.2995375421622385,2.726154468421478,Respiratory failure,Mixed,37192
rs55543049,chr20,42487595,chr20:42487595,upstream_gene_variant,EPCR,8.392255681035291e-07,0.2609255985666477,1.6435898604750512,ARDS,East Asian,27520
rs4326769,chr6,198720018,chr6:198720018,3_prime_UTR_variant,FGA,3.22621877925684e-05,0.0954395502124458,2.7582505714459185,Diabetes,East Asian,17985
rs22367172,chrX,30016698,chrX:30016698,5_prime_UTR_variant,EPCR,1.9342899961563868e-05,0.4689976944809999,1.430050265950384,Severe COVID-19,Middle Eastern,15077
rs27786211,chr15,94860718,chr15:94860718,downstream_gene_variant,PROC,1.7059906889002426e-05,0.06560202540788865,3.3192646838685507,Multi-organ failure,East Asian,15109
rs4176186,chr22,52842883,chr22:52842883,5_prime_UTR_variant,CD14,4.3868194275515245e-05,0.13639139758042626,2.6839617104820297,Thrombosis,European,18792
rs48130035,chr21,137742544,chr21:137742544,5_prime_UTR_variant,ANGPT2,4.086293778805878e-05,0.2820483976837365,2.3711613880544156,Coagulopathy,Mixed,2308
rs16480907,chr9,48933933,chr9:48933933,downstream_gene_variant,IFNAR2,1.210019602211358e-05,0.055620356224890616,3.253317819087984,Respiratory failure,Middle Eastern,23154
rs98783662,chr11,118143591,chr11:118143591,regulatory_region_variant,IFIH1,4.5021898677594893e-05,0.3202197140639013,1.9136714985168817,Diabetes,East Asian,17193
rs6957459,chrX,118053299,chrX:118053299,missense_variant,S100A9,1.746698663488692e-05,0.3657182826464173,3.253064623886185,Multi-organ failure,East Asian,24369
rs58887757,chr3,179304945,chr3:179304945,3_prime_UTR_variant,SAA1,4.435545034901321e-05,0.3921390174702357,2.6408759507702904,Cardiovascular disease,European,47669
rs41308572,chr17,84022969,chr17:84022969,5_prime_UTR_variant,IL13,4.216156850102491e-06,0.08919806990636074,3.2565300524649903,Diabetes,Mixed,36833
rs18084279,chr7,113862703,chr7:113862703,5_prime_UTR_variant,ANGPT2,3.03253886923829e-05,0.014506555292148528,1.3435317028784772,Sepsis,East Asian,40838
rs77384014,chr10,110004973,chr10:110004973,regulatory_region_variant,PROS1,3.3178453437711715e-05,0.012480176084647156,1.4859393234019969,Severe COVID-19,Mixed,19303
rs29210242,chr14,156688478,chr14:156688478,3_prime_UTR_variant,CASP1,2.7441202130435643e-05,0.3490286468694197,2.6647070228062413,Hypertension,Middle Eastern,44777
rs29682516,chr17,128019948,chr17:128019948,intron_variant,PCSK9,1.1221222779933385e-05,0.3589678184602926,1.6693978099923203,Respiratory failure,Mixed,34280
rs90100953,chr21,167231556,chr21:167231556,3_prime_UTR_variant,OAS2,1.6276730910981795e-05,0.3757807885078318,2.659118957713315,Coagulopathy,East Asian,44592
rs42663795,chr8,54453534,chr8:54453534,intron_variant,TMPRSS2,4.2462678290603956e-05,0.3322303172271682,2.4639406480051322,Severe COVID-19,East Asian,31638
rs83043803,chr3,123249846,chr3:123249846,5_prime_UTR_variant,TFPI,4.692801643726343e-06,0.19018074349912242,1.736485682436141,Cytokine storm,East Asian,47577
rs94463085,chr13,133708361,chr13:133708361,5_prime_UTR_variant,CCL2,1.2207042272520388e-05,0.48677517182869834,2.043434539200225,ARDS,European,49715
rs15305904,chr14,59744720,chr14:59744720,intron_variant,FGG,4.4603407293303894e-05,0.3192579267386588,3.007547128499956,Sepsis,Middle Eastern,3791
rs75813739,chr8,33576951,chr8:33576951,splice_region_variant,IRF7,2.5136828284328557e-05,0.29268290346691594,2.282042465165273,Multi-organ failure,Middle Eastern,44250
rs72287314,chr18,160840514,chr18:160840514,3_prime_UTR_variant,PLG,9.770196960024245e-06,0.3640015364781376,1.7738536698580538,Hypertension,Middle Eastern,36405
rs60849511,chr6,128419448,chr6:128419448,splice_region_variant,CXCL10,1.2255551619083774e-06,0.32628142499451224,1.5250656305769175,Multi-organ failure,East Asian,42289
rs38220099,chr17,131083021,chr17:131083021,upstream_gene_variant,IFNG,4.702352463180219e-05,0.4774250027312678,3.2956745365290763,Hypertension,European,47262
rs39349783,chr8,73937969,chr8:73937969,3_prime_UTR_variant,IL13,1.8514233425769666e-05,0.01757374209914504,3.327964550210541,Immune deficiency,European,9568
rs21244148,chr8,103820253,chr8:103820253,intron_variant,F8,2.1414925574382544e-05,0.4836608613313981,3.412687945014207,Pneumonia,European,27688
rs55707061,chr11,146656069,chr11:146656069,splice_region_variant,IRAK4,4.2651942678813334e-05,0.154279957114097,2.0242345486446207,Severe COVID-19,East Asian,28034
rs53274692,chr19,187703030,chr19:187703030,missense_variant,THBD,4.255832220912768e-05,0.16529178252657606,1.506782592046622,Multi-organ failure,Middle Eastern,31759
rs1791358,chr12,81158223,chr12:81158223,5_prime_UTR_variant,THBD,2.7844495110292926e-05,0.4687158393387827,2.7704715120199355,Coagulopathy,Middle Eastern,35772
rs99600914,chr18,162934383,chr18:162934383,upstream_gene_variant,HMGB1,2.8507357892767356e-05,0.05761648194767658,2.576017344078007,Pneumonia,Mixed,29062
rs66181765,chr1,105383060,chr1:105383060,3_prime_UTR_variant,PCSK9,4.950279196671212e-05,0.07864116746589676,2.343991165672968,Cytokine storm,Middle Eastern,47959
rs23151928,chr15,35259824,chr15:35259824,regulatory_region_variant,TMPRSS2,4.3869879865678495e-05,0.37297662269956017,2.7728377783886433,Diabetes,European,6001
rs87268397,chr14,37426552,chr14:37426552,splice_region_variant,STAT2,3.512717935851559e-05,0.18615066409768002,1.8046204262347842,Severe COVID-19,Mixed,25344
rs44936531,chr7,123057421,chr7:123057421,3_prime_UTR_variant,CD14,4.0469964162370895e-05,0.4069555633927986,3.180973564592249,Multi-organ failure,Middle Eastern,18735
rs57581473,chr9,22986536,chr9:22986536,splice_region_variant,TMPRSS2,4.5662895222298e-05,0.26055777544185954,2.3036391072492792,Sepsis,European,23435
rs31094589,chr21,19419603,chr21:19419603,missense_variant,PLG,3.991677599654909e-05,0.32848232608110495,2.784720505418488,Severe COVID-19,East Asian,13565
rs3735359,chr20,41904824,chr20:41904824,upstream_gene_variant,IRF7,3.9791675545110695e-05,0.4461026174906075,1.911188376443686,Hypertension,European,37460
rs30254705,chr15,188761199,chr15:188761199,downstream_gene_variant,FGB,1.87853918024708e-05,0.05605115052202581,2.487872338390818,Cardiovascular disease,East Asian,40207
rs82503378,chrY,193832551,chrY:193832551,synonymous_variant,FGB,1.8067542670991368e-06,0.2381430288849055,2.402347123298184,Coagulopathy,East Asian,20884
rs15508768,chr19,7892998,chr19:7892998,downstream_gene_variant,ADIPOQ,1.4334197193892937e-05,0.29950829767881526,1.1732005998537187,Cytokine storm,Middle Eastern,26495
rs96967649,chr7,21400148,chr7:21400148,upstream_gene_variant,OAS3,1.8770359555732286e-06,0.41307427472323255,1.964457539387031,Sepsis,Mixed,45343
rs81585882,chr4,152916362,chr4:152916362,missense_variant,TLR3,6.36175502746772e-06,0.26589919742685414,2.947984527436666,Immune deficiency,Middle Eastern,43853
rs50737181,chr3,136817815,chr3:136817815,3_prime_UTR_variant,ACE2,1.079889316456719e-05,0.31521633315131015,1.3048339159850433,Coagulopathy,Middle Eastern,32625
rs15165187,chr14,98224110,chr14:98224110,splice_region_variant,F8,2.5935692412186986e-06,0.2703637694683925,2.3975242918642556,ARDS,Middle Eastern,12043
rs99488338,chr17,175605833,chr17:175605833,downstream_gene_variant,SAA1,3.187512077589535e-05,0.36578475352410417,3.442044990710083,Multi-organ failure,Middle Eastern,30965
rs59461818,chrY,160041194,chrY:160041194,downstream_gene_variant,IL13,2.5819854411576756e-05,0.16824867174121053,3.0084468674448885,Coagulopathy,East Asian,6179
rs38437115,chr15,66461592,chr15:66461592,splice_region_variant,ADIPOQ,1.354890424059109e-05,0.2250959961457617,1.2882953152214385,Inflammatory response,Middle Eastern,22546
rs4852048,chr16,88245326,chr16:88245326,intron_variant,HMGB1,1.2772836633387208e-06,0.4816977231921833,3.106352289229294,Pneumonia,Mixed,17431
rs46679506,chr9,161029140,chr9:161029140,downstream_gene_variant,RETN,3.480175056262396e-05,0.21038694276299225,1.51590636817003,Severe COVID-19,East Asian,6110
rs33394260,chrY,110099718,chrY:110099718,splice_region_variant,RETN,7.830287763127591e-06,0.1326190201006517,2.418143995294689,Multi-organ failure,East Asian,45759
rs64900135,chr21,192083740,chr21:192083740,splice_region_variant,NLRP3,3.5732650175776115e-05,0.33349671459168834,1.771841352670263,Multi-organ failure,European,6598
rs40491631,chr8,109555600,chr8:109555600,upstream_gene_variant,IL4,4.774371538035307e-05,0.3715694891809266,2.4304497260273616,Cytokine storm,Mixed,31515
